// Inicia programa //,-56,-2,1
program,-1,-2,2
;,-75,-2,2
var,-15,-2,3
num1#,-53,-1,4
,,-76,-2,4
int,-11,-2,4
;,-75,-2,4
real,-12,-2,5
;,-75,-2,5
begin,-2,-2,6
:=,-26,-2,7
10,-61,-2,7
;,-75,-2,7
:=,-26,-2,8
5,-61,-2,8
;,-75,-2,8
:=,-26,-2,9
+,-24,-2,9
*,-21,-2,9
2.5,-62,-2,9
;,-75,-2,9
if,-6,-2,10
>=,-34,-2,10
20.0,-62,-2,10
then,-16,-2,10
write,-5,-2,11
(,-73,-2,11
"Result is greater than or equal to 20",-63,-2,11
),-74,-2,11
;,-75,-2,11
else,-7,-2,12
write,-5,-2,13
(,-73,-2,13
"Result is less than 20",-63,-2,13
),-74,-2,13
;,-75,-2,13
if,-6,-2,15
10,-61,-2,15
&&,-41,-2,15
5,-61,-2,15
then,-16,-2,15
write,-5,-2,16
(,-73,-2,16
"10 and 5 are true",-63,-2,16
),-74,-2,16
;,-75,-2,16
else,-7,-2,17
write,-5,-2,18
(,-73,-2,18
"10 and 5 are false",-63,-2,18
),-74,-2,18
;,-75,-2,18
if,-6,-2,20
10,-61,-2,20
||,-42,-2,20
5,-61,-2,20
then,-16,-2,20
write,-5,-2,21
(,-73,-2,21
"10 or 5 are true",-63,-2,21
),-74,-2,21
;,-75,-2,21
else,-7,-2,22
write,-5,-2,23
(,-73,-2,23
"10 or 5 are false",-63,-2,23
),-74,-2,23
;,-75,-2,23
if,-6,-2,25
!,-43,-2,25
10,-61,-2,25
then,-16,-2,25
write,-5,-2,26
(,-73,-2,26
"10 is false",-63,-2,26
),-74,-2,26
;,-75,-2,26
else,-7,-2,27
write,-5,-2,28
(,-73,-2,28
"10 is true",-63,-2,28
),-74,-2,28
;,-75,-2,28
end,-3,-2,29
// termino //,-56,-2,31
