program,-1,-1,1
hello?,-55,-2,1
;,-75,-1,1
var,-15,-1,2
int,-11,-1,3
:,-77,-1,3
i&,-51,-2,3
;,-75,-1,3
real,-12,-1,4
:,-77,-1,4
x%,-52,-2,4
;,-75,-1,4
begin,-2,-1,5
while,-8,-1,6
(,-73,-1,6
x#,-53,-2,6
>,-33,-1,6
10,-61,-1,6
),-74,-1,6
do,-17,-1,6
begin,-2,-1,7
x#,-53,-2,8
:=,-26,-1,8
x#,-53,-2,8
-,-25,-1,8
1,-61,-1,8
;,-75,-1,8
if,-6,-1,9
(,-73,-1,9
x#,-53,-2,9
+,-24,-1,9
5,-61,-1,9
-,-25,-1,9
10,-61,-1,9
*,-21,-1,9
5,-61,-1,9
==,-35,-1,9
0,-61,-1,9
),-74,-1,9
then,-16,-1,9
begin,-2,-1,10
x#,-53,-2,11
:=,-26,-1,11
x#,-53,-2,11
+,-24,-1,11
1,-61,-1,11
;,-75,-1,11
end,-3,-1,12
else,-7,-1,13
begin,-2,-1,14
x#,-53,-2,15
:=,-26,-1,15
x#,-53,-2,15
-,-25,-1,15
1,-61,-1,15
+,-24,-1,15
10,-61,-1,15
;,-75,-1,15
end,-3,-1,16
repeat,-9,-1,17
begin,-2,-1,18
x#,-53,-2,19
:=,-26,-1,19
x#,-53,-2,19
+,-24,-1,19
1,-61,-1,19
;,-75,-1,19
end,-3,-1,20
until,-10,-1,21
(,-73,-1,21
x#,-53,-2,21
==,-35,-1,21
10,-61,-1,21
),-74,-1,21
;,-75,-1,21
read,-4,-1,22
(,-73,-1,22
x#,-53,-2,22
),-74,-1,22
;,-75,-1,22
end,-3,-1,23
end,-3,-1,24
